 
Race Number,Passes P1,Passes P2,Collisions,Choices,Proportion Ahead P1,Proportion Ahead P2,Win P1,Win P2,Progress P1,Progress P2,Out of Bounds P1,Out of Bounds P2,Progress Cost P1,Progress Cost P2,Bounds Cost P1,Bounds Cost P2,Proximity Cost P1,Proximity Cost P2,Adjustment Count P2,Seed
31,0,0,0,20,1.0,0.0,True,False,10,6,0,0,-1759400,1759389,0,0,0.0,0.0,8,41
32,0,1,1,20,0.8,0.2,False,True,4,4,0,0,-359,348,0,0,6.178643649542508e-100,1.7356503771762947e-97,13,41
33,0,0,0,20,1.0,0.0,True,False,10,11,0,0,-1255721,1255711,0,0,0.0,0.0,5,41
34,0,0,0,20,1.0,0.0,True,False,4,5,0,0,-2064,2046,0,0,0.0,1.1527733004172074e-295,8,41
35,0,0,0,20,0.0,1.0,False,True,4,11,0,0,1506391,-1506401,0,0,0.0,0.0,8,41
36,0,0,0,20,1.0,0.0,True,False,10,6,0,0,-3266874,3266864,0,0,0.0,0.0,8,41
37,0,0,0,20,0.0,1.0,False,True,4,11,0,0,4020080,-4020091,0,0,2.47e-321,4.94e-322,9,41
38,0,0,0,20,0.0,1.0,False,True,2,11,0,1,2760253,-2760271,0,39000,0.0,0.0,8,41
39,0,0,0,20,1.0,0.0,True,False,10,6,0,0,-1759325,1759314,0,0,0.0,0.0,8,41
40,0,0,0,20,0.0,1.0,False,True,10,11,0,0,2512463,-2512473,0,0,0.0,0.0,8,41
41,0,1,0,20,0.5,0.5,False,True,4,4,0,0,-78,68,0,0,1.3793636460158377e-154,1.5926262257346754e-126,17,41
42,0,0,1,20,0.0,1.0,False,True,1,10,0,4,3260845,-3260859,0,100000,4.071813043089066e-53,6.00251008496361e-104,10,41
43,0,0,0,20,0.0,1.0,False,True,10,7,0,0,504363,-504373,0,0,3.87285886427869e-214,3.87285886427869e-214,4,41
44,0,1,1,20,0.75,0.25,False,True,10,10,0,0,-501723,501713,0,0,4.062779759944868e-100,3.0226922585494935e-94,14,41
45,0,1,1,20,0.85,0.15,False,True,1,11,0,0,497531,-497546,0,0,2.6274350287847e-81,2.6274350287847e-81,10,41
46,0,0,0,20,1.0,0.0,True,False,10,6,0,0,-3015203,3015193,0,0,0.0,0.0,8,41
47,0,0,0,20,1.0,0.0,True,False,10,10,0,3,-753206,753195,0,135000,4.542546026647851e-257,2.069081836729543e-252,14,41
48,0,0,0,20,1.0,0.0,True,False,10,11,0,2,-251978,251968,0,147000,5.906356259933388e-276,7.755198146493423e-290,11,41
49,0,0,0,20,0.0,1.0,False,True,10,11,0,0,2511368,-2511378,0,0,0.0,0.0,8,41
50,0,1,1,20,0.3,0.7,False,True,4,4,0,0,216,-227,0,0,1.886720094824012e-101,2.0681887242745815e-72,17,41
51,0,0,0,20,1.0,0.0,True,False,10,11,0,2,-251941,251930,0,147000,4.386168203336894e-266,5.382488641683275e-280,10,41
52,0,0,0,20,0.0,1.0,False,True,4,11,0,0,3519202,-3519213,0,0,1.687950640439614e-272,6.126549227535232e-280,8,41
53,0,0,0,20,0.0,1.0,False,True,4,11,0,0,1005515,-1005525,0,0,0.0,0.0,8,41
54,0,0,0,20,0.0,1.0,False,True,4,11,0,0,2261775,-2261785,0,0,0.0,0.0,7,41
55,0,0,0,20,1.0,0.0,True,False,10,11,0,0,-1759124,1759114,0,0,0.0,0.0,8,41
56,0,0,0,20,1.0,0.0,True,False,4,4,0,4,-529,518,0,100000,6.874701728788375e-210,8.644653426594622e-194,13,41
57,0,0,0,20,0.0,1.0,False,True,10,11,0,0,3013944,-3013955,0,0,0.0,0.0,8,41
58,0,1,0,20,0.3,0.7,False,True,3,10,0,0,500979,-500997,0,0,2.6842692205973196e-111,3.9015391552692313e-85,18,41
59,0,0,0,20,0.0,1.0,False,True,4,10,0,2,3516119,-3516129,0,111000,0.0,0.0,4,41
60,0,0,0,20,0.0,1.0,False,True,4,11,0,0,3767931,-3767942,0,0,0.0,0.0,8,41
61,0,0,0,20,0.0,1.0,False,True,4,11,0,0,1257041,-1257052,0,0,0.0,0.0,8,41
62,0,0,0,20,1.0,0.0,True,False,9,11,0,3,-2511435,2511422,0,197000,0.0,0.0,7,41
63,0,0,0,20,0.0,1.0,False,True,4,11,0,0,2008132,-2008772,0,0,0.0,0.0,5,41
64,0,0,0,20,0.0,1.0,False,True,4,11,0,0,752923,-752934,0,0,2.310140299306064e-177,3.396313140365234e-226,9,41
65,0,1,0,20,0.4,0.6,False,True,10,10,0,0,250751,-250761,0,0,3.056667128469121e-147,3.3442375177965645e-128,15,41
66,0,0,1,20,0.0,1.0,False,True,10,8,0,0,252625,-252636,0,0,1.01784254681391e-86,2.552289428863041e-106,5,41
67,0,2,1,20,0.7,0.25,False,True,4,4,0,0,-159,149,0,0,3.170586218004585e-140,3.366829829659502e-92,17,41
68,0,0,0,20,0.0,1.0,False,True,4,11,0,0,3265377,-3265388,0,0,0.0,0.0,5,41
69,0,0,0,20,0.0,1.0,False,True,4,10,0,3,3769369,-3769379,0,131000,0.0,0.0,5,41
70,0,1,0,20,0.45,0.55,False,True,10,10,0,0,-13,3,0,0,1.605859108128631e-149,1.8716530077749393e-127,17,41
71,0,0,0,20,0.0,1.0,False,True,4,11,0,0,2511189,-2511200,0,0,0.0,0.0,8,41
72,0,0,0,20,1.0,0.0,True,False,10,6,0,0,-754620,754609,0,0,0.0,0.0,6,41
73,0,1,1,20,0.25,0.75,False,True,4,4,0,3,226,-236,0,146000,6.932214354047134e-83,2.291732104718923e-84,16,41
74,0,0,0,20,1.0,0.0,True,False,10,6,0,0,-4018720,4018709,0,0,0.0,0.0,8,41
75,0,0,0,20,0.0,1.0,False,True,10,11,0,2,1255912,-1255923,0,87000,0.0,0.0,6,41
76,0,0,0,20,0.0,1.0,False,True,4,11,0,0,252779,-252790,0,0,0.0,0.0,9,41
77,0,0,0,20,0.0,1.0,False,True,4,10,0,2,3516317,-3516328,0,111000,0.0,0.0,6,41
78,0,0,0,20,1.0,0.0,True,False,10,11,0,0,-503076,503066,0,0,7.262715860659656e-202,1.0753720344818802e-211,8,41
79,0,0,0,20,0.0,1.0,False,True,4,11,0,0,2009112,-2009123,0,0,0.0,0.0,8,41
80,0,0,0,20,0.0,1.0,False,True,4,11,0,0,2262784,-2262794,0,0,0.0,0.0,8,41
81,0,1,1,20,0.2,0.8,False,True,0,11,0,0,3763416,-3763427,0,0,1.165243371115822e-96,1.7653231864569962e-96,10,41
82,0,0,0,20,1.0,0.0,True,False,4,6,0,0,-2603,2585,0,0,4.996468044630739e-271,1.3273011418909627e-223,7,41
83,0,0,0,20,0.0,1.0,False,True,4,11,0,0,2763566,-2763577,0,0,0.0,0.0,8,41
84,0,0,0,20,0.0,1.0,False,True,4,11,0,0,3519497,-3519507,0,0,3.1897593124105674e-177,4.18778362036683e-187,10,41
85,0,0,0,20,0.0,1.0,False,True,4,11,0,0,3770389,-3770400,0,0,3.500074191237592e-120,6.500546411578614e-126,8,41
86,0,0,0,20,0.0,1.0,False,True,4,11,0,0,1256907,-1256918,0,0,0.0,0.0,8,41
87,0,0,0,20,1.0,0.0,True,False,10,11,0,3,-2009361,2009350,0,163000,0.0,0.0,6,41
88,0,1,1,20,0.5,0.5,False,True,0,11,0,0,2256228,-2256228,0,0,7.973177991175983e-98,7.973177991175983e-98,12,41
89,0,0,0,20,1.0,0.0,True,False,10,11,0,0,-2511899,2511888,0,0,0.0,0.0,5,41
90,0,0,0,20,1.0,0.0,True,False,4,5,0,0,-1184,1173,0,0,1.802935031102573e-271,2.447398891386281e-274,10,41
91,0,1,0,20,0.3,0.7,False,True,0,10,0,4,3260551,-3260551,0,203000,5.089595850293426e-174,5.089595850293426e-174,6,41
92,0,0,0,20,0.0,1.0,False,True,4,11,0,0,3770389,-3770400,0,0,3.500074191237592e-120,6.500546411578614e-126,8,41
93,0,0,0,20,1.0,0.0,True,False,10,6,0,0,-2010972,2010961,0,0,0.0,0.0,8,41
94,0,0,0,20,1.0,0.0,True,False,10,5,0,0,-494,483,0,0,4.4624455996872516e-237,4.462445597844694e-237,12,41
95,0,0,0,20,1.0,0.0,True,False,10,11,0,0,-252463,252452,0,0,1.5462687807037888e-229,9.8634762869602e-239,9,41
96,0,1,0,20,0.85,0.15,False,True,3,10,0,3,500009,-500028,0,135000,1.7917020766916872e-222,8.386308688611023e-216,12,41
97,0,1,1,20,0.45,0.55,False,True,3,11,0,0,250524,-250532,0,0,3.175933708753906e-41,2.8208165822585873e-40,11,41
98,0,0,0,20,1.0,0.0,True,False,10,6,2,0,-2011167,2011147,66000,0,0.0,0.0,9,41
99,0,1,2,20,0.15,0.8,False,True,3,10,0,3,250800,-250812,0,216000,2.713594977658609e-25,5.7939199708584756e-15,11,41
100,0,0,0,20,0.0,1.0,False,True,4,11,0,0,1004493,-1004503,0,0,1.4350508613652242e-223,1.8290616065214945e-268,11,41
